phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,19,10,1.0,-15.321369457244874,0.0,0.0,-14.597879219055176,-0.7234902560710907,0.0,0.0,262.124089050293,
warmup_kf,10,19,10,1.0,-16.974033069610595,0.0,0.0,-14.791138744354248,-2.1828941643238067,0.0,0.0,265.5005676269531,
warmup_kf,15,19,10,1.0,-19.920722866058348,0.0,0.0,-14.976755952835083,-4.94396665096283,0.0,0.0,268.8147430419922,
warmup_kf,20,19,10,1.0,-24.387737274169922,0.0,0.0,-15.154357051849365,-9.233380317687988,0.0,0.0,272.0606460571289,
warmup_kf,25,19,10,1.0,-28.23272123336792,0.0,0.0,-15.323576354980469,-12.909144973754882,0.0,0.0,275.2311019897461,
warmup_kf,30,19,10,1.0,-30.28398017883301,0.0,0.0,-15.484102201461791,-14.799878406524659,0.0,0.0,278.31837005615233,
warmup_kf,35,19,10,1.0,-31.5487117767334,0.0,0.0,-15.635700130462647,-15.913011646270752,0.0,0.0,281.3144805908203,
warmup_kf,40,19,10,1.0,-32.44026670455933,0.0,0.0,-15.77822470664978,-16.662041568756102,0.0,0.0,284.2113525390625,
warmup_kf,45,19,10,1.0,-33.11697406768799,0.0,0.0,-15.911638450622558,-17.205335426330567,0.0,0.0,287.0011840820313,
warmup_kf,50,19,10,1.0,-33.6552318572998,0.0,0.0,-16.03601050376892,-17.619221210479736,0.0,0.0,289.67677307128906,
warmup_kf,55,19,10,1.0,-34.09792575836182,0.0,0.0,-16.151520252227783,-17.946405601501464,0.0,0.0,292.23207092285156,
warmup_kf,60,19,10,1.0,-34.471690559387206,0.0,0.0,-16.25844449996948,-18.213246059417724,0.0,0.0,294.6623779296875,
warmup_kf,65,19,10,1.0,-34.79425411224365,0.0,0.0,-16.357135152816774,-18.43711929321289,0.0,0.0,296.9645568847656,
warmup_kf,70,19,10,1.0,-35.077986526489255,0.0,0.0,-16.44800672531128,-18.629979419708253,0.0,0.0,299.1375427246094,
warmup_kf,75,19,10,1.0,-35.33177871704102,0.0,0.0,-16.53150644302368,-18.800272274017335,0.0,0.0,301.1819778442383,
warmup_kf,80,19,10,1.0,-35.56212882995605,0.0,0.0,-16.6080913066864,-18.954037761688234,0.0,0.0,303.1000671386719,
warmup_kf,85,19,10,1.0,-35.77384777069092,0.0,0.0,-16.67822136878967,-19.095626163482667,0.0,0.0,304.8955703735352,
warmup_kf,90,19,10,1.0,-35.97049560546875,0.0,0.0,-16.74234266281128,-19.22815284729004,0.0,0.0,306.57323455810547,
warmup_kf,95,19,10,1.0,-36.154727935791016,0.0,0.0,-16.800889635086058,-19.35383806228638,0.0,0.0,308.13866271972654,
warmup_dyn,5,19,10,1.0,-36.493432426452635,0.0,0.0,-16.90289649963379,-19.590536403656007,0.0,0.0,310.95716857910156,
warmup_dyn,10,19,10,1.0,-36.65062942504883,0.0,0.0,-16.947146129608154,-19.703482818603515,0.0,0.0,312.2230926513672,
warmup_dyn,15,19,10,1.0,-36.80111293792724,0.0,0.0,-16.98740086555481,-19.813712215423585,0.0,0.0,313.4019805908203,
warmup_dyn,20,19,10,1.0,-36.945712089538574,0.0,0.0,-17.0240336894989,-19.921678352355958,0.0,0.0,314.50029296875,
warmup_dyn,25,19,10,1.0,-37.08513240814209,0.0,0.0,-17.05740542411804,-20.0277268409729,0.0,0.0,315.52430267333983,
warmup_dyn,30,19,10,1.0,-37.219993019104,0.0,0.0,-17.087872886657713,-20.13212032318115,0.0,0.0,316.48035583496096,
warmup_dyn,35,19,10,1.0,-37.350845909118654,0.0,0.0,-17.115778493881226,-20.235067653656007,0.0,0.0,317.3746505737305,
warmup_dyn,40,19,10,1.0,-37.47816562652588,0.0,0.0,-17.141448402404784,-20.336716747283937,0.0,0.0,318.21339263916013,
warmup_dyn,45,19,10,1.0,-37.6023832321167,0.0,0.0,-17.165184783935548,-20.437198543548583,0.0,0.0,319.0026611328125,
warmup_dyn,50,19,10,1.0,-37.72387542724609,0.0,0.0,-17.187268781661988,-20.53660650253296,0.0,0.0,319.74856719970705,
warmup_dyn,55,19,10,1.0,-37.842962646484374,0.0,0.0,-17.207948446273804,-20.63501386642456,0.0,0.0,320.4570251464844,
warmup_dyn,60,19,10,1.0,-37.9599105834961,0.0,0.0,-17.227440881729127,-20.732469940185545,0.0,0.0,321.1338348388672,
warmup_dyn,65,19,10,1.0,-38.07491455078125,0.0,0.0,-17.245928621292116,-20.828985691070557,0.0,0.0,321.78440246582034,
