phase,epoch,seed,window_size,lam,total_loss,policy_loss,value_loss,kf_loss,dyn_loss,sim_policy_loss,sim_value_loss,discounted_reward,val_sharpe
warmup_kf,5,13,10,1.0,-0.8897366791963577,0.0,0.0,-16.56354088783264,-0.8897366791963577,0.0,0.0,320.9949645996094,
warmup_kf,10,13,10,1.0,-2.5648839354515074,0.0,0.0,-16.56354088783264,-2.5648839354515074,0.0,0.0,320.9949645996094,
warmup_kf,15,13,10,1.0,-5.68811001777649,0.0,0.0,-16.56354088783264,-5.68811001777649,0.0,0.0,320.9949645996094,
warmup_kf,20,13,10,1.0,-10.193016242980956,0.0,0.0,-16.56354088783264,-10.193016242980956,0.0,0.0,320.9949645996094,
warmup_kf,25,13,10,1.0,-13.194731378555298,0.0,0.0,-16.56354088783264,-13.194731378555298,0.0,0.0,320.9949645996094,
warmup_kf,30,13,10,1.0,-14.768245267868043,0.0,0.0,-16.56354088783264,-14.768245267868043,0.0,0.0,320.9949645996094,
warmup_kf,35,13,10,1.0,-15.671503973007201,0.0,0.0,-16.56354088783264,-15.671503973007201,0.0,0.0,320.9949645996094,
warmup_kf,40,13,10,1.0,-16.248283100128173,0.0,0.0,-16.56354088783264,-16.248283100128173,0.0,0.0,320.9949645996094,
warmup_kf,45,13,10,1.0,-16.680609703063965,0.0,0.0,-16.56354088783264,-16.680609703063965,0.0,0.0,320.9949645996094,
warmup_kf,50,13,10,1.0,-17.019088649749754,0.0,0.0,-16.56354088783264,-17.019088649749754,0.0,0.0,320.9949645996094,
warmup_kf,55,13,10,1.0,-17.29093542098999,0.0,0.0,-16.56354088783264,-17.29093542098999,0.0,0.0,320.9949645996094,
warmup_kf,60,13,10,1.0,-17.515768241882324,0.0,0.0,-16.56354088783264,-17.515768241882324,0.0,0.0,320.9949645996094,
warmup_kf,65,13,10,1.0,-17.707424545288085,0.0,0.0,-16.56354088783264,-17.707424545288085,0.0,0.0,320.9949645996094,
warmup_kf,70,13,10,1.0,-17.876017570495605,0.0,0.0,-16.56354088783264,-17.876017570495605,0.0,0.0,320.9949645996094,
warmup_kf,75,13,10,1.0,-18.028963470458983,0.0,0.0,-16.56354088783264,-18.028963470458983,0.0,0.0,320.9949645996094,
warmup_kf,80,13,10,1.0,-18.1728533744812,0.0,0.0,-16.56354088783264,-18.1728533744812,0.0,0.0,320.9949645996094,
warmup_kf,85,13,10,1.0,-18.318948173522948,0.0,0.0,-16.56354088783264,-18.318948173522948,0.0,0.0,320.9949645996094,
warmup_kf,90,13,10,1.0,-18.460837745666502,0.0,0.0,-16.56354088783264,-18.460837745666502,0.0,0.0,320.9949645996094,
warmup_kf,95,13,10,1.0,-18.580944347381593,0.0,0.0,-16.56354088783264,-18.580944347381593,0.0,0.0,320.9949645996094,
warmup_dyn,5,13,10,1.0,-18.792870807647706,0.0,0.0,-16.56354088783264,-18.792870807647706,0.0,0.0,320.9949645996094,
warmup_dyn,10,13,10,1.0,-18.881951332092285,0.0,0.0,-16.56354088783264,-18.881951332092285,0.0,0.0,320.9949645996094,
warmup_dyn,15,13,10,1.0,-18.96233386993408,0.0,0.0,-16.56354088783264,-18.96233386993408,0.0,0.0,320.9949645996094,
warmup_dyn,20,13,10,1.0,-19.034386444091798,0.0,0.0,-16.56354088783264,-19.034386444091798,0.0,0.0,320.9949645996094,
warmup_dyn,25,13,10,1.0,-19.098288822174073,0.0,0.0,-16.56354088783264,-19.098288822174073,0.0,0.0,320.9949645996094,
warmup_dyn,30,13,10,1.0,-19.155478382110594,0.0,0.0,-16.56354088783264,-19.155478382110594,0.0,0.0,320.9949645996094,
warmup_dyn,35,13,10,1.0,-19.205334281921388,0.0,0.0,-16.56354088783264,-19.205334281921388,0.0,0.0,320.9949645996094,
warmup_dyn,40,13,10,1.0,-19.248747539520263,0.0,0.0,-16.56354088783264,-19.248747539520263,0.0,0.0,320.9949645996094,
warmup_dyn,45,13,10,1.0,-19.286411380767824,0.0,0.0,-16.56354088783264,-19.286411380767824,0.0,0.0,320.9949645996094,
warmup_dyn,50,13,10,1.0,-19.319007110595702,0.0,0.0,-16.56354088783264,-19.319007110595702,0.0,0.0,320.9949645996094,
warmup_dyn,55,13,10,1.0,-19.347082996368407,0.0,0.0,-16.56354088783264,-19.347082996368407,0.0,0.0,320.9949645996094,
warmup_dyn,60,13,10,1.0,-19.371095848083495,0.0,0.0,-16.56354088783264,-19.371095848083495,0.0,0.0,320.9949645996094,
warmup_dyn,65,13,10,1.0,-19.391450500488283,0.0,0.0,-16.56354088783264,-19.391450500488283,0.0,0.0,320.9949645996094,
warmup_dyn,70,13,10,1.0,-19.408576488494873,0.0,0.0,-16.56354088783264,-19.408576488494873,0.0,0.0,320.9949645996094,
